codigo,nombre,region
CERRILLOS,Cerrillos,METROPOLITANA_DE_SANTIAGO
CERRO_NAVIA,Cerro Navia,METROPOLITANA_DE_SANTIAGO
CONCHALI,Conchalí,METROPOLITANA_DE_SANTIAGO
EL_BOSQUE,El Bosque,METROPOLITANA_DE_SANTIAGO
ESTACION_CENTRAL,Estación Central,METROPOLITANA_DE_SANTIAGO
HUECHURABA,Huechuraba,METROPOLITANA_DE_SANTIAGO
INDEPENDENCIA,Independencia,METROPOLITANA_DE_SANTIAGO
LA_CISTERNA,La Cisterna,METROPOLITANA_DE_SANTIAGO
LA_FLORIDA,La Florida,METROPOLITANA_DE_SANTIAGO
LA_GRANJA,La Granja,METROPOLITANA_DE_SANTIAGO
LA_PINTANA,La Pintana,METROPOLITANA_DE_SANTIAGO
LA_REINA,La Reina,METROPOLITANA_DE_SANTIAGO
LAS_CONDES,Las Condes,METROPOLITANA_DE_SANTIAGO
LO_BARNECHEA,Lo Barnechea,METROPOLITANA_DE_SANTIAGO
LO_ESPEJO,Lo Espejo,METROPOLITANA_DE_SANTIAGO
LO_PRADO,Lo Prado,METROPOLITANA_DE_SANTIAGO
MACUL,Macul,METROPOLITANA_DE_SANTIAGO
MAIPU,Maipú,METROPOLITANA_DE_SANTIAGO
NUNOA,Ñuñoa,METROPOLITANA_DE_SANTIAGO
PEDRO_AGUIRRE_CERDA,Pedro Aguirre Cerda,METROPOLITANA_DE_SANTIAGO
PENALOLEN,Peñalolén,METROPOLITANA_DE_SANTIAGO
PROVIDENCIA,Providencia,METROPOLITANA_DE_SANTIAGO
PUDAHUEL,Pudahuel,METROPOLITANA_DE_SANTIAGO
QUILICURA,Quilicura,METROPOLITANA_DE_SANTIAGO
QUINTA_NORMAL,Quinta Normal,METROPOLITANA_DE_SANTIAGO
RECOLETA,Recoleta,METROPOLITANA_DE_SANTIAGO
RENCA,Renca,METROPOLITANA_DE_SANTIAGO
SAN_JOAQUIN,San Joaquín,METROPOLITANA_DE_SANTIAGO
SAN_MIGUEL,San Miguel,METROPOLITANA_DE_SANTIAGO
SAN_RAMON,San Ramón,METROPOLITANA_DE_SANTIAGO
SANTIAGO,Santiago,METROPOLITANA_DE_SANTIAGO
VITACURA,Vitacura,METROPOLITANA_DE_SANTIAGO
PUENTE_ALTO,Puente Alto,METROPOLITANA_DE_SANTIAGO
SAN_JOSE_DE_MAIPO,San José de Maipo,METROPOLITANA_DE_SANTIAGO
PIRQUE,Pirque,METROPOLITANA_DE_SANTIAGO
COLINA,Colina,METROPOLITANA_DE_SANTIAGO
LAMPA,Lampa,METROPOLITANA_DE_SANTIAGO
TIL_TIL,Til Til,METROPOLITANA_DE_SANTIAGO
SAN_BERNARDO,San Bernardo,METROPOLITANA_DE_SANTIAGO
BUIN,Buin,METROPOLITANA_DE_SANTIAGO
PAINE,Paine,METROPOLITANA_DE_SANTIAGO
CALERA_DE_TANGO,Calera de Tango,METROPOLITANA_DE_SANTIAGO
MELIPILLA,Melipilla,METROPOLITANA_DE_SANTIAGO
ALHUE,Alhué,METROPOLITANA_DE_SANTIAGO
CURACAVI,Curacaví,METROPOLITANA_DE_SANTIAGO
MARIA_PINTO,María Pinto,METROPOLITANA_DE_SANTIAGO
SAN_PEDRO,San Pedro,METROPOLITANA_DE_SANTIAGO
TALAGANTE,Talagante,METROPOLITANA_DE_SANTIAGO
EL_MONTE,El Monte,METROPOLITANA_DE_SANTIAGO
ISLA_DE_MAIPO,Isla de Maipo,METROPOLITANA_DE_SANTIAGO
PADRE_HURTADO,Padre Hurtado,METROPOLITANA_DE_SANTIAGO
PENAFLOR,Peñaflor,METROPOLITANA_DE_SANTIAGO
ARICA,Arica,ARICA_Y_PARINACOTA
CAMARONES,Camarones,ARICA_Y_PARINACOTA
PUTRE,Putre,ARICA_Y_PARINACOTA
IQUIQUE,Iquique,TARAPACA
ALTO_HOSPICIO,Alto Hospicio,TARAPACA
POZO_ALMONTE,Pozo Almonte,TARAPACA
ANTOFAGASTA,Antofagasta,ANTOFAGASTA
CALAMA,Calama,ANTOFAGASTA
TOCOPILLA,Tocopilla,ANTOFAGASTA
COPIAPO,Copiapó,ATACAMA
VALLENAR,Vallenar,ATACAMA
CHANARAL,Chañaral,ATACAMA
LA_SERENA,La Serena,COQUIMBO
COQUIMBO,Coquimbo,COQUIMBO
OVALLE,Ovalle,COQUIMBO
VALPARAISO,Valparaíso,VALPARAISO
VINA_DEL_MAR,Viña del Mar,VALPARAISO
QUILPUE,Quilpué,VALPARAISO
SAN_ANTONIO,San Antonio,VALPARAISO
RANCAGUA,Rancagua,LIBERTADOR_GENERAL_BERNARDO_OHIGGINS
SAN_FERNANDO,San Fernando,LIBERTADOR_GENERAL_BERNARDO_OHIGGINS
RENGO,Rengo,LIBERTADOR_GENERAL_BERNARDO_OHIGGINS
TALCA,Talca,MAULE
CURICO,Curicó,MAULE
LINARES,Linares,MAULE
CHILLAN,Chillán,NUBLE
CHILLAN_VIEJO,Chillán Viejo,NUBLE
SAN_CARLOS,San Carlos,NUBLE
CONCEPCION,Concepción,BIOBIO
TALCAHUANO,Talcahuano,BIOBIO
LOS_ANGELES,Los Ángeles,BIOBIO
TEMUCO,Temuco,LA_ARAUCANIA
VILLARRICA,Villarrica,LA_ARAUCANIA
ANGOL,Angol,LA_ARAUCANIA
VALDIVIA,Valdivia,LOS_RIOS
LA_UNION,La Unión,LOS_RIOS
PANGUIPULLI,Panguipulli,LOS_RIOS
PUERTO_MONTT,Puerto Montt,LOS_LAGOS
OSORNO,Osorno,LOS_LAGOS
CASTRO,Castro,LOS_LAGOS
COYHAIQUE,Coyhaique,AYSEN_DEL_GENERAL_CARLOS_IBANEZ_DEL_CAMPO
PUERTO_AYSEN,Puerto Aysén,AYSEN_DEL_GENERAL_CARLOS_IBANEZ_DEL_CAMPO
CHILE_CHICO,Chile Chico,AYSEN_DEL_GENERAL_CARLOS_IBANEZ_DEL_CAMPO
PUNTA_ARENAS,Punta Arenas,MAGALLANES_Y_ANTARTICA_CHILENA
PUERTO_NATALES,Puerto Natales,MAGALLANES_Y_ANTARTICA_CHILENA
PORVENIR,Porvenir,MAGALLANES_Y_ANTARTICA_CHILENA
